code,date,open,high,close,low,volume
hs300,2014-01-02,2323.433,2325.991,2321.978,2310.653,45194292.0
hs300,2014-01-03,2311.968,2314.836,2290.779,2280.887,59782644.0
hs300,2014-01-06,2286.371,2286.371,2238.637,2229.334,66300404.0
hs300,2014-01-07,2222.306,2246.791,2238.001,2218.647,43753104.0
hs300,2014-01-08,2240.635,2262.584,2241.911,2228.418,51348856.0
hs300,2014-01-09,2236.967,2258.894,2222.221,2220.802,55987040.0
hs300,2014-01-10,2216.521,2224.494,2204.851,2200.215,54169292.0
hs300,2014-01-13,2206.996,2222.072,2193.679,2183.597,50122772.0
hs300,2014-01-14,2192.844,2214.124,2212.846,2179.908,54049948.0
hs300,2014-01-15,2210.024,2215.903,2208.941,2193.802,48962396.0
hs300,2014-01-16,2209.448,2227.262,2211.844,2201.56,52298904.0
hs300,2014-01-17,2203.821,2205.972,2178.488,2175.876,50273156.0
hs300,2014-01-20,2173.651,2182.463,2165.993,2156.458,40560152.0
hs300,2014-01-21,2168.42,2197.923,2187.41,2168.42,40306248.0
hs300,2014-01-22,2190.432,2244.133,2243.796,2187.534,70641376.0
hs300,2014-01-23,2242.245,2248.924,2231.889,2228.057,56345952.0
hs300,2014-01-24,2225.758,2257.355,2245.678,2222.893,61167672.0
hs300,2014-01-27,2233.015,2233.231,2215.919,2211.799,70344248.0
hs300,2014-01-28,2220.785,2233.257,2219.855,2205.972,53269128.0
hs300,2014-01-29,2225.711,2233.057,2227.781,2219.928,50222716.0
hs300,2014-01-30,2223.163,2223.163,2202.45,2200.224,43632304.0
hs300,2014-02-07,2187.343,2212.498,2212.483,2177.117,50459316.0
hs300,2014-02-10,2221.54,2270.194,2267.534,2221.54,83065712.0
hs300,2014-02-11,2267.735,2296.516,2285.562,2262.599,99229832.0
hs300,2014-02-12,2286.187,2294.317,2291.246,2276.444,76592160.0
hs300,2014-02-13,2288.451,2307.474,2279.554,2278.261,96217792.0
hs300,2014-02-14,2278.4,2295.852,2295.575,2274.429,67082996.0
hs300,2014-02-17,2308.791,2315.579,2311.647,2293.552,87831664.0
hs300,2014-02-18,2310.309,2310.309,2282.442,2276.108,87049744.0
hs300,2014-02-19,2280.927,2317.42,2308.656,2274.152,99352560.0
hs300,2014-02-20,2314.088,2331.698,2287.436,2286.203,106439536.0
hs300,2014-02-21,2284.03,2287.869,2264.294,2250.652,76368992.0
hs300,2014-02-24,2246.715,2246.715,2214.509,2194.164,89215936.0
hs300,2014-02-25,2216.515,2225.209,2157.909,2150.095,93237552.0
hs300,2014-02-26,2147.737,2164.698,2163.405,2137.079,77993296.0
hs300,2014-02-27,2170.81,2180.063,2154.108,2150.135,90104296.0
hs300,2014-02-28,2149.446,2180.474,2178.971,2133.548,76668056.0
hs300,2014-03-03,2173.907,2194.224,2190.37,2167.91,82072312.0
hs300,2014-03-04,2183.858,2188.601,2184.273,2161.589,73069248.0
hs300,2014-03-05,2187.352,2189.093,2163.976,2159.595,61332016.0
hs300,2014-03-06,2159.397,2181.427,2173.634,2136.454,69093768.0
hs300,2014-03-07,2170.043,2189.39,2168.358,2161.436,64265176.0
hs300,2014-03-10,2149.676,2149.676,2097.787,2095.067,71416408.0
hs300,2014-03-11,2092.608,2118.79,2108.661,2088.729,57621244.0
hs300,2014-03-12,2102.801,2130.586,2114.134,2090.757,70069744.0
hs300,2014-03-13,2119.547,2149.436,2140.333,2115.986,69226032.0
hs300,2014-03-14,2129.87,2140.384,2122.836,2109.575,58617736.0
hs300,2014-03-17,2132.793,2143.196,2143.038,2118.953,52409444.0
hs300,2014-03-18,2146.124,2152.462,2138.133,2134.923,55354132.0
hs300,2014-03-19,2131.283,2131.283,2120.87,2101.285,59303904.0
hs300,2014-03-20,2116.185,2134.792,2086.967,2086.497,67631288.0
hs300,2014-03-21,2079.871,2163.225,2158.798,2077.759,104024808.0
hs300,2014-03-24,2161.898,2186.731,2176.554,2150.871,104491984.0
hs300,2014-03-25,2170.78,2191.491,2174.44,2164.669,86877512.0
hs300,2014-03-26,2181.231,2186.078,2171.047,2165.217,58276176.0
hs300,2014-03-27,2168.344,2186.893,2155.707,2146.916,71275136.0
hs300,2014-03-28,2154.515,2172.668,2151.965,2144.584,70086072.0
hs300,2014-03-31,2156.054,2165.254,2146.305,2134.422,55457488.0
hs300,2014-04-01,2143.717,2170.095,2163.115,2141.151,48866404.0
hs300,2014-04-02,2166.067,2182.683,2180.727,2164.008,65039256.0
hs300,2014-04-03,2188.642,2196.138,2165.008,2160.747,71536032.0
hs300,2014-04-04,2157.982,2186.154,2185.472,2155.277,47945888.0
hs300,2014-04-08,2179.92,2243.97,2237.316,2178.905,97219120.0
hs300,2014-04-09,2239.791,2246.793,2238.62,2228.994,66357268.0
hs300,2014-04-10,2241.452,2290.742,2273.761,2229.515,114545408.0
hs300,2014-04-11,2269.565,2281.105,2270.666,2261.133,90615896.0
hs300,2014-04-14,2267.943,2275.83,2268.613,2255.456,62265000.0
hs300,2014-04-15,2261.411,2261.474,2229.463,2225.685,68218128.0
hs300,2014-04-16,2223.468,2245.315,2232.526,2221.153,51678008.0
hs300,2014-04-17,2238.779,2241.622,2224.803,2221.954,48333628.0
hs300,2014-04-18,2215.879,2228.77,2224.479,2203.047,50757996.0
hs300,2014-04-21,2209.942,2231.707,2187.248,2186.755,56278280.0
hs300,2014-04-22,2184.017,2196.849,2196.795,2165.075,57094696.0
hs300,2014-04-23,2191.231,2205.594,2194.668,2187.388,47763532.0
hs300,2014-04-24,2192.769,2209.454,2190.474,2186.763,45058912.0
hs300,2014-04-25,2195.815,2201.712,2167.826,2167.64,60245384.0
hs300,2014-04-28,2165.773,2171.385,2134.969,2132.695,60485188.0
hs300,2014-04-29,2134.413,2159.379,2158.47,2131.783,48204932.0
hs300,2014-04-30,2158.762,2164.175,2158.659,2153.124,45334624.0
hs300,2014-05-05,2152.59,2161.703,2156.47,2131.232,49344072.0
hs300,2014-05-06,2151.388,2173.618,2157.328,2150.112,48086520.0
hs300,2014-05-07,2151.472,2153.723,2137.316,2136.99,44607472.0
hs300,2014-05-08,2132.036,2168.206,2135.496,2128.318,48332452.0
hs300,2014-05-09,2138.84,2141.559,2133.05,2120.595,38183432.0
hs300,2014-05-12,2150.313,2184.332,2180.054,2139.483,83472560.0
hs300,2014-05-13,2180.059,2185.046,2174.852,2167.767,64912520.0
hs300,2014-05-14,2175.094,2184.221,2172.372,2168.997,48514208.0
hs300,2014-05-15,2169.278,2171.453,2144.084,2142.338,46734032.0
hs300,2014-05-16,2143.926,2150.5,2145.952,2132.186,42253196.0
hs300,2014-05-19,2139.362,2139.362,2115.143,2105.713,42893608.0
hs300,2014-05-20,2124.708,2131.567,2115.771,2110.72,37299684.0
hs300,2014-05-21,2106.762,2136.1,2135.905,2096.514,38946040.0
hs300,2014-05-22,2134.087,2160.909,2130.868,2128.858,46252736.0
hs300,2014-05-23,2130.775,2148.583,2148.414,2128.663,37623104.0
hs300,2014-05-26,2161.892,2165.421,2155.976,2147.445,39550656.0
hs300,2014-05-27,2154.395,2160.027,2147.28,2145.752,35897172.0
hs300,2014-05-28,2147.467,2171.172,2169.352,2142.007,50056260.0
hs300,2014-05-29,2171.26,2178.092,2155.164,2154.925,44891556.0
hs300,2014-05-30,2156.381,2166.907,2156.464,2146.218,43923864.0
hs300,2014-06-03,2157.64,2168.995,2149.918,2149.291,41982952.0
hs300,2014-06-04,2149.407,2149.452,2128.274,2117.313,41817248.0
hs300,2014-06-05,2126.607,2150.93,2150.602,2123.524,36477424.0
hs300,2014-06-06,2149.214,2149.783,2134.716,2123.98,35738056.0
hs300,2014-06-09,2128.225,2153.903,2134.281,2126.665,39311060.0
hs300,2014-06-10,2138.671,2161.526,2161.268,2132.447,50507904.0
hs300,2014-06-11,2156.151,2163.61,2160.766,2152.08,42563720.0
hs300,2014-06-12,2156.761,2160.988,2153.41,2148.413,43025844.0
hs300,2014-06-13,2150.987,2183.645,2176.242,2150.569,59252876.0
hs300,2014-06-16,2176.438,2196.343,2191.855,2174.277,63296876.0
hs300,2014-06-17,2185.681,2185.681,2169.674,2168.445,49933664.0
hs300,2014-06-18,2169.252,2172.549,2160.239,2158.497,49463896.0
hs300,2014-06-19,2161.426,2166.407,2126.907,2119.498,53162644.0
hs300,2014-06-20,2124.963,2137.034,2136.729,2120.807,42393720.0
hs300,2014-06-23,2137.926,2147.227,2134.11,2132.454,41179256.0
hs300,2014-06-24,2131.686,2145.213,2144.821,2130.292,40164356.0
hs300,2014-06-25,2141.726,2141.726,2133.371,2126.035,37666100.0
hs300,2014-06-26,2135.156,2151.114,2149.076,2134.891,44351168.0
hs300,2014-06-27,2146.374,2159.526,2150.258,2138.927,52722896.0
hs300,2014-06-30,2152.306,2168.221,2165.118,2152.306,54304188.0
hs300,2014-07-01,2169.199,2171.15,2164.559,2157.133,53323100.0
hs300,2014-07-02,2163.998,2171.51,2170.867,2155.609,59685500.0
hs300,2014-07-03,2169.003,2184.964,2180.192,2164.843,63690688.0
hs300,2014-07-04,2180.445,2183.798,2178.695,2174.073,52851104.0
hs300,2014-07-07,2178.546,2186.202,2176.289,2171.083,50242336.0
hs300,2014-07-08,2174.828,2180.778,2180.473,2163.359,50743600.0
hs300,2014-07-09,2178.135,2178.51,2148.71,2148.26,62022048.0
hs300,2014-07-10,2146.601,2151.774,2142.847,2139.522,55732496.0
hs300,2014-07-11,2136.317,2154.735,2148.009,2134.795,61374272.0
hs300,2014-07-14,2149.542,2171.902,2171.758,2145.278,66158864.0
hs300,2014-07-15,2170.089,2176.272,2174.976,2165.206,71815696.0
hs300,2014-07-16,2172.824,2183.248,2170.868,2166.774,81560232.0
hs300,2014-07-17,2166.831,2166.932,2157.068,2147.084,59453568.0
hs300,2014-07-18,2147.663,2176.325,2164.144,2145.446,65473296.0
hs300,2014-07-21,2164.223,2171.94,2166.295,2158.955,54172260.0
hs300,2014-07-22,2162.436,2197.592,2192.698,2162.236,78542584.0
hs300,2014-07-23,2191.394,2210.282,2197.833,2190.555,84213872.0
hs300,2014-07-24,2199.833,2239.815,2237.015,2199.833,119435536.0
hs300,2014-07-25,2243.067,2260.89,2260.454,2239.066,98972840.0
hs300,2014-07-28,2272.383,2331.472,2323.897,2272.383,179869328.0
hs300,2014-07-29,2326.038,2342.77,2331.369,2316.217,134269648.0
hs300,2014-07-30,2324.69,2339.038,2322.011,2316.058,123022832.0
hs300,2014-07-31,2321.967,2350.551,2350.251,2316.585,110987768.0
hs300,2014-08-01,2341.227,2371.5,2329.402,2328.966,126317392.0
hs300,2014-08-04,2336.63,2375.62,2375.62,2332.138,116713752.0
hs300,2014-08-05,2376.797,2380.774,2369.353,2353.795,111861792.0
hs300,2014-08-06,2358.206,2371.667,2363.221,2334.334,116341832.0
hs300,2014-08-07,2363.608,2369.204,2327.457,2326.268,116729208.0
hs300,2014-08-08,2329.184,2339.27,2331.134,2319.288,86739696.0
hs300,2014-08-11,2338.008,2367.004,2365.349,2337.014,91601168.0
hs300,2014-08-12,2361.17,2361.17,2357.052,2344.716,91822608.0
hs300,2014-08-13,2358.459,2370.513,2358.901,2335.694,110447792.0
hs300,2014-08-14,2357.198,2363.18,2335.945,2334.08,97969496.0
hs300,2014-08-15,2337.985,2366.902,2360.635,2333.123,93592544.0
hs300,2014-08-18,2366.272,2379.804,2374.562,2361.197,104509552.0
hs300,2014-08-19,2378.886,2379.474,2374.768,2358.965,115850016.0
hs300,2014-08-20,2371.649,2375.475,2366.14,2360.837,101288088.0
hs300,2014-08-21,2365.731,2367.46,2354.244,2333.299,100690208.0
hs300,2014-08-22,2352.316,2368.457,2365.364,2350.986,89823936.0
hs300,2014-08-25,2367.019,2367.606,2342.863,2338.455,97373720.0
hs300,2014-08-26,2339.6,2350.391,2324.092,2317.184,93844224.0
hs300,2014-08-27,2323.79,2336.737,2327.595,2322.885,67676224.0
hs300,2014-08-28,2328.059,2336.363,2311.278,2309.639,70490656.0
hs300,2014-08-29,2317.304,2338.774,2338.287,2313.262,63211424.0
hs300,2014-09-01,2340.925,2355.552,2355.317,2338.53,77320872.0
hs300,2014-09-02,2359.862,2387.655,2386.46,2349.949,114436736.0
hs300,2014-09-03,2389.694,2414.26,2408.838,2389.679,129734208.0
hs300,2014-09-04,2411.934,2427.297,2426.224,2404.082,111272296.0
hs300,2014-09-05,2433.174,2450.634,2449.259,2427.987,133551760.0
hs300,2014-09-09,2452.227,2454.893,2445.224,2437.078,118194344.0
hs300,2014-09-10,2435.593,2437.081,2432.433,2422.646,109175520.0
hs300,2014-09-11,2430.678,2461.473,2423.454,2417.269,132982584.0
hs300,2014-09-12,2418.752,2438.358,2438.358,2412.622,109160168.0
hs300,2014-09-15,2433.001,2439.254,2437.189,2418.959,122247160.0
hs300,2014-09-16,2440.339,2442.924,2388.765,2386.98,186742784.0
hs300,2014-09-17,2395.361,2405.371,2401.326,2379.091,125269024.0
hs300,2014-09-18,2396.379,2414.946,2408.664,2389.622,115926376.0
hs300,2014-09-19,2409.313,2430.149,2425.211,2402.313,101813576.0
hs300,2014-09-22,2419.326,2419.326,2378.92,2374.108,102240872.0
hs300,2014-09-23,2379.521,2402.482,2399.462,2379.521,84033344.0
hs300,2014-09-24,2391.419,2443.978,2441.864,2387.07,142713536.0
hs300,2014-09-25,2453.423,2462.668,2436.965,2429.587,138661888.0
hs300,2014-09-26,2430.808,2439.649,2437.201,2420.499,100299496.0
hs300,2014-09-29,2443.91,2453.665,2447.799,2435.611,123401728.0
hs300,2014-09-30,2452.166,2454.885,2450.988,2444.204,115804232.0
hs300,2014-10-08,2460.87,2478.383,2478.383,2445.268,121953600.0
hs300,2014-10-09,2480.197,2488.113,2481.955,2461.112,137923920.0
hs300,2014-10-10,2472.096,2482.136,2466.789,2457.684,147634304.0
hs300,2014-10-13,2457.412,2460.389,2454.946,2430.546,131593360.0
hs300,2014-10-14,2451.094,2467.904,2446.562,2436.336,127393704.0
hs300,2014-10-15,2444.538,2465.498,2463.874,2431.188,135801888.0
hs300,2014-10-16,2448.968,2480.3,2444.395,2441.822,158166608.0
hs300,2014-10-17,2443.222,2456.105,2441.732,2410.401,132759984.0
hs300,2014-10-20,2448.453,2456.621,2454.711,2441.896,91435400.0
hs300,2014-10-21,2453.406,2459.255,2433.391,2432.552,96241912.0
hs300,2014-10-22,2434.886,2447.467,2418.641,2417.562,88656192.0
hs300,2014-10-23,2415.44,2424.662,2395.936,2392.532,103491840.0
hs300,2014-10-24,2397.848,2404.993,2390.706,2385.725,74974872.0
hs300,2014-10-27,2377.542,2377.542,2368.832,2361.68,73862448.0
hs300,2014-10-28,2373.155,2416.766,2416.653,2373.155,101523056.0
hs300,2014-10-29,2423.813,2461.268,2451.384,2415.703,158584064.0
hs300,2014-10-30,2450.361,2474.376,2468.925,2443.759,189626352.0
hs300,2014-10-31,2473.501,2512.189,2508.325,2466.504,239172416.0
hs300,2014-11-03,2515.824,2524.172,2512.548,2502.06,205801232.0
hs300,2014-11-04,2511.036,2517.46,2513.172,2498.605,218247008.0
hs300,2014-11-05,2516.87,2519.399,2503.448,2499.228,190491856.0
hs300,2014-11-06,2505.167,2510.985,2506.067,2482.983,149651120.0
hs300,2014-11-07,2508.765,2541.549,2502.153,2489.419,208760912.0
hs300,2014-11-10,2529.83,2565.73,2565.73,2514.71,226599728.0
hs300,2014-11-11,2578.438,2602.373,2558.612,2532.572,323711648.0
hs300,2014-11-12,2545.403,2594.318,2594.318,2539.601,184686256.0
hs300,2014-11-13,2597.389,2607.519,2579.75,2567.463,219815616.0
hs300,2014-11-14,2569.211,2581.932,2581.093,2557.666,165049968.0
hs300,2014-11-17,2613.513,2614.086,2567.101,2565.943,158478096.0
hs300,2014-11-18,2565.273,2570.211,2541.416,2534.927,142941360.0
hs300,2014-11-19,2538.233,2550.5,2537.223,2531.318,122146976.0
hs300,2014-11-20,2528.78,2545.473,2537.099,2522.836,106149864.0
hs300,2014-11-21,2537.538,2585.362,2583.455,2530.032,151028144.0
hs300,2014-11-24,2614.16,2667.671,2649.258,2602.944,279839712.0
hs300,2014-11-25,2650.085,2686.063,2685.561,2643.843,222611696.0
hs300,2014-11-26,2695.263,2723.36,2723.018,2690.31,243962480.0
hs300,2014-11-27,2737.03,2754.49,2754.49,2718.704,265464736.0
hs300,2014-11-28,2753.925,2809.543,2808.819,2740.374,375323648.0
hs300,2014-12-01,2825.611,2855.332,2819.812,2808.653,365487424.0
hs300,2014-12-02,2807.338,2944.506,2923.94,2804.293,361465312.0
hs300,2014-12-03,2936.124,3028.225,2967.549,2912.246,466156672.0
hs300,2014-12-04,2975.403,3104.89,3104.351,2968.876,426812928.0
hs300,2014-12-05,3143.968,3195.798,3124.885,3011.936,524881248.0
hs300,2014-12-08,3108.272,3270.881,3252.881,3075.7,484462336.0
hs300,2014-12-09,3233.097,3387.827,3106.913,3074.516,632874560.0
hs300,2014-12-10,3120.212,3229.047,3221.546,3058.191,425018720.0
hs300,2014-12-11,3185.161,3254.424,3183.012,3158.443,367091680.0
hs300,2014-12-12,3182.923,3239.447,3193.227,3167.928,301065312.0
hs300,2014-12-15,3176.829,3226.221,3217.228,3143.297,290193824.0
hs300,2014-12-16,3221.358,3303.402,3303.402,3207.688,358123840.0
hs300,2014-12-17,3325.82,3368.194,3360.598,3275.736,448140768.0
hs300,2014-12-18,3359.09,3393.711,3345.927,3322.229,355970208.0
hs300,2014-12-19,3345.629,3397.183,3383.167,3280.916,411211584.0
hs300,2014-12-22,3396.251,3455.207,3394.481,3357.661,549801664.0
hs300,2014-12-23,3358.798,3431.779,3324.924,3316.913,369736096.0
hs300,2014-12-24,3332.146,3340.357,3230.385,3188.495,317449600.0
hs300,2014-12-25,3254.48,3335.779,3335.419,3226.322,309799552.0
hs300,2014-12-26,3343.64,3453.338,3445.839,3335.012,384614112.0
hs300,2014-12-29,3502.183,3524.28,3455.455,3405.836,425015040.0
hs300,2014-12-30,3450.814,3491.826,3457.554,3422.174,328233888.0
hs300,2014-12-31,3462.389,3542.34,3533.705,3452.498,345934752.0
hs300,2015-01-05,3566.089,3669.042,3641.541,3551.51,451198112.0
hs300,2015-01-06,3608.428,3683.226,3641.059,3587.231,420962176.0
hs300,2015-01-07,3620.924,3671.19,3643.79,3601.698,320191232.0
hs300,2015-01-08,3650.073,3659.945,3559.259,3552.1,295003040.0
hs300,2015-01-09,3547.574,3689.753,3546.723,3536.395,349982656.0
hs300,2015-01-12,3531.515,3560.527,3513.576,3461.322,266567168.0
hs300,2015-01-13,3506.451,3550.158,3514.04,3494.768,187153968.0
hs300,2015-01-14,3522.907,3547.242,3502.423,3471.56,196012512.0
hs300,2015-01-15,3501.719,3604.121,3604.121,3482.27,237812336.0
hs300,2015-01-16,3616.248,3662.158,3635.146,3601.258,282681600.0
hs300,2015-01-19,3414.013,3497.252,3355.155,3330.981,329505280.0
hs300,2015-01-20,3336.793,3419.204,3396.222,3325.681,297843232.0
hs300,2015-01-21,3420.491,3557.794,3548.885,3409.43,337928224.0
hs300,2015-01-22,3551.052,3576.756,3567.613,3520.053,268853600.0
hs300,2015-01-23,3582.088,3627.806,3571.732,3548.626,280172160.0
hs300,2015-01-26,3580.118,3611.617,3607.985,3559.376,239766208.0
hs300,2015-01-27,3614.038,3616.258,3574.931,3510.017,287669184.0
hs300,2015-01-28,3547.239,3583.312,3525.323,3512.393,216220208.0
hs300,2015-01-29,3474.915,3505.582,3481.798,3453.901,211618864.0
hs300,2015-01-30,3496.885,3514.217,3434.39,3431.936,196479152.0
hs300,2015-02-02,3360.193,3407.256,3353.96,3347.085,195183696.0
hs300,2015-02-03,3388.602,3441.709,3437.445,3360.717,192846096.0
hs300,2015-02-04,3446.144,3476.817,3401.768,3399.565,191304352.0
hs300,2015-02-05,3487.951,3487.951,3366.946,3366.862,250430608.0
hs300,2015-02-06,3352.33,3374.051,3312.42,3285.935,192664192.0
hs300,2015-02-09,3305.734,3376.526,3345.921,3298.597,172353824.0
hs300,2015-02-10,3345.077,3407.18,3406.943,3339.548,159309088.0
hs300,2015-02-11,3415.977,3445.655,3434.124,3412.136,144613776.0
hs300,2015-02-12,3435.361,3453.582,3442.874,3405.627,156081696.0
hs300,2015-02-13,3458.827,3509.505,3469.828,3452.079,201089968.0
hs300,2015-02-16,3473.289,3504.475,3499.483,3466.607,165641344.0
hs300,2015-02-17,3511.544,3536.82,3522.322,3511.093,165328320.0
hs300,2015-02-24,3511.544,3536.82,3522.322,3511.093,165328320.0
hs300,2015-02-25,3529.55,3529.55,3478.729,3463.955,165539344.0
hs300,2015-02-26,3473.713,3569.33,3566.295,3456.871,229328432.0
hs300,2015-02-27,3565.233,3594.813,3572.843,3560.455,222786432.0
hs300,2015-03-02,3603.452,3608.691,3601.265,3566.527,248176128.0
hs300,2015-03-03,3579.315,3579.315,3507.9,3504.201,261866496.0
hs300,2015-03-04,3514.667,3540.912,3530.822,3497.172,199663984.0
hs300,2015-03-05,3513.249,3517.083,3496.344,3467.676,217508800.0
hs300,2015-03-06,3501.184,3516.243,3478.52,3472.392,181518048.0
hs300,2015-03-09,3449.696,3546.705,3537.75,3417.486,233940416.0
hs300,2015-03-10,3523.64,3551.205,3520.611,3511.985,194267664.0
hs300,2015-03-11,3524.575,3568.916,3524.653,3512.218,188947824.0
hs300,2015-03-12,3557.686,3603.341,3592.844,3536.534,265664624.0
hs300,2015-03-13,3604.671,3641.392,3617.657,3594.742,246864768.0
hs300,2015-03-16,3641.773,3705.739,3705.671,3621.119,275438304.0
hs300,2015-03-17,3733.961,3762.575,3757.122,3716.809,371625664.0
hs300,2015-03-18,3769.086,3846.055,3846.055,3763.848,415190016.0
hs300,2015-03-19,3851.249,3859.126,3839.739,3809.706,391547616.0
hs300,2015-03-20,3852.492,3916.863,3892.574,3832.416,401817536.0
hs300,2015-03-23,3923.083,3972.296,3972.061,3922.21,391119936.0
hs300,2015-03-24,3980.066,3989.858,3973.046,3883.782,468581312.0
hs300,2015-03-25,3961.578,3980.716,3940.412,3913.988,379968864.0
hs300,2015-03-26,3921.745,3991.997,3949.999,3892.878,346756320.0
hs300,2015-03-27,3957.542,3993.032,3971.697,3932.87,298756064.0
hs300,2015-03-30,3999.024,4101.651,4088.178,3999.024,428297024.0
hs300,2015-03-31,4138.885,4166.018,4051.204,4037.771,436065632.0
hs300,2015-04-01,4057.501,4139.499,4123.895,4046.939,329512864.0
hs300,2015-04-02,4149.946,4156.842,4124.776,4068.649,339070496.0
hs300,2015-04-03,4104.672,4170.558,4170.538,4092.383,321303776.0
hs300,2015-04-07,4213.894,4260.471,4260.044,4197.019,415362656.0
hs300,2015-04-08,4277.45,4304.78,4295.803,4204.826,458676704.0
hs300,2015-04-09,4316.958,4332.166,4262.138,4212.611,439699904.0
hs300,2015-04-10,4249.383,4351.687,4344.416,4231.196,348190176.0
hs300,2015-04-13,4394.047,4432.024,4421.073,4361.589,434153024.0
hs300,2015-04-14,4432.126,4474.353,4438.184,4385.908,434432128.0
hs300,2015-04-15,4439.314,4475.997,4380.513,4379.609,472154144.0
hs300,2015-04-16,4355.491,4513.765,4513.546,4335.63,422603744.0
hs300,2015-04-17,4578.679,4630.27,4596.136,4553.904,552802688.0
hs300,2015-04-20,4615.034,4671.168,4521.919,4492.6,686439104.0
hs300,2015-04-21,4520.461,4620.058,4619.164,4504.558,490314976.0
hs300,2015-04-22,4637.055,4740.933,4739.814,4632.589,516213792.0
hs300,2015-04-23,4764.481,4782.044,4740.892,4693.967,497430944.0
hs300,2015-04-24,4682.626,4730.43,4702.641,4618.318,480152928.0
hs300,2015-04-27,4753.871,4810.485,4807.592,4735.31,513076544.0
hs300,2015-04-28,4811.319,4839.078,4741.861,4703.567,608638528.0
hs300,2015-04-29,4722.903,4797.927,4774.326,4695.793,395056992.0
hs300,2015-04-30,4788.412,4818.725,4749.886,4749.485,399727456.0
hs300,2015-05-04,4757.637,4795.915,4787.741,4699.398,377843840.0
hs300,2015-05-05,4785.192,4785.192,4596.837,4572.983,460419616.0
hs300,2015-05-06,4626.231,4700.909,4553.327,4511.761,376073696.0
hs300,2015-05-07,4520.818,4546.338,4470.089,4467.459,297759200.0
hs300,2015-05-08,4515.554,4559.058,4558.404,4445.592,302407968.0
hs300,2015-05-11,4582.091,4690.954,4690.532,4535.149,373838432.0
hs300,2015-05-12,4692.122,4748.004,4747.421,4660.016,377053888.0
hs300,2015-05-13,4746.713,4758.002,4718.436,4678.845,370730432.0
hs300,2015-05-14,4717.955,4735.284,4700.778,4670.168,337725152.0
hs300,2015-05-15,4690.755,4690.755,4617.47,4592.05,328431168.0
hs300,2015-05-18,4582.058,4623.383,4575.14,4565.061,269180480.0
hs300,2015-05-19,4577.637,4740.005,4731.222,4577.637,314785952.0
hs300,2015-05-20,4751.572,4843.1,4754.919,4745.21,363180736.0
hs300,2015-05-21,4768.689,4841.615,4840.976,4746.029,305054528.0
hs300,2015-05-22,4895.925,4951.991,4951.335,4870.598,455846720.0
hs300,2015-05-25,4949.11,5099.839,5099.495,4949.11,465736576.0
hs300,2015-05-26,5140.798,5199.295,5198.918,5063.146,487949344.0
hs300,2015-05-27,5216.17,5226.844,5181.434,5126.861,470798720.0
hs300,2015-05-28,5174.101,5213.183,4834.007,4831.329,571829056.0
hs300,2015-05-29,4839.53,4924.303,4840.829,4665.521,427878848.0
